DateFiled,TallyDate,City,State,RTW,MedianIncome,MinWage,InequalityIndex,UnionMembership,White,Black,Indigenous,Asian,PacificIslander,Other,Mixed,Latino,DemVotes,MarginShift,Immigrant,Address,Status,Case Name,Labor Union,Ballot Type,IsInitial,IsRevised,VotesFor,VotesAgainst,PercentVoters,NumEligibleVoters,success,Case
5/20/2022,7/25/2022,Bulverde,TX,1,"79,212.00",7,0.4753,4.1,0.3975,0.1182,0.0029,0.0536,0.001,0.0039,0.0304,0.3926,0.47,0.02,17.2,"109 Old Boerne Road, Bulverde, Texas",Voted Failed,STARBUCKS CORPORATION,Workers United,Initial,1,0,4,17,0.84,25,0,16-RC-296156
5/20/2022,7/26/2022,Pittsburgh,PA,0,"50,536.00",7,0.4745,12.7,0.7347,0.1053,0.0012,0.039,0.0002,0.0042,0.0347,0.0807,0.50,0.01,7.2,"5310 Liberty Ave., Pittsburgh, Pennsylvania",Unionized,Starbucks Corporation,Workers United,Initial,1,0,8,6,0.8235294118,17,1,06-RC-296143
5/20/2022,7/26/2022,Pittsburgh,PA,0,"50,536.00",7,0.4745,12.7,0.7347,0.1053,0.0012,0.039,0.0002,0.0042,0.0347,0.0807,0.50,0.01,7.2,"4885 McKnight Road, Pittsburgh, Pennsylvania",Voted Failed,Starbucks Corporation,WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION,Initial,1,0,4,6,0.5555555556,18,0,06-RC-296139
5/20/2022,7/29/2022,Riverside,CA,0,"72,738.00",15,0.4866,16.1,0.3469,0.0536,0.0039,0.1512,0.0035,0.0057,0.0412,0.394,0.64,0.02,26.9,"1303 University Avenue, Riverside, California",Open,Starbucks Corporation,Workers United,Initial,1,0,3,1,0.1428571429,28,1,21-RC-296247
5/20/2022,8/1/2022,Wichita,KS,1,"53,466.00",7,0.45,9.8,0.7225,0.0556,0.0075,0.029,0.0011,0.0034,0.0507,0.1302,0.42,0.02,7.2,"2166 North Amidon, Wichita, KS",Voted Failed,Starbucks Corporation,Service Employees International Union Local 513,Initial,1,0,5,6,0.4230769231,26,0,14-RC-296161
5/24/2022,8/3/2022,Los Angeles,CA,0,"65,290.00",15,0.4866,16.1,0.3469,0.0536,0.0039,0.1512,0.0035,0.0057,0.0412,0.394,0.64,0.02,26.9,"6066 W. Olympic Blvd., Los Angeles, CA",Unionized,Starbucks Corporation,Workers United,Initial,1,0,8,4,0.7058823529,17,1,31-RC-296439
5/24/2022,6/28/2022,Sterling,VA,1,"101,079.00",11,0.469,3.7,0.586,0.1828,0.0022,0.0707,0.0007,0.0053,0.0469,0.1053,0.54,0.02,12.5,"21000 Southbank Street, Sterling, Virginia",Unionized,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",Initial,1,0,11,4,0.75,20,1,05-RC-296297
5/25/2022,7/29/2022,Dallas,TX,1,"54,747.00",7,0.4753,4.1,0.3975,0.1182,0.0029,0.0536,0.001,0.0039,0.0304,0.3926,0.47,0.02,17.2,"5331 East Mockingbird Lane #150, Dallas, Texas",Unionized,STARBUCKS CORPORATION,Workers United,Initial,1,0,8,0,0.5,16,1,16-RC-296428
5/26/2022,8/3/2022,Chicago,IL,0,"62,097.00",12,0.48,13.1,0.5832,0.1386,0.0013,0.0583,0.0002,0.0035,0.0324,0.1824,0.58,0.02,14.1,"6075 N. Lincoln Ave. Chicago, IL",Unionized,Starbucks Corporation,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",Initial,1,0,4,3,0.35,20,1,13-RC-296481
5/26/2022,8/9/2022,Salem,OR,0,"58,726.00",14,0.45,15.5,0.7165,0.0186,0.0099,0.0453,0.0043,0.0054,0.0611,0.1389,0.57,0.03,10.3,"3904 Commercial Street SE, Salem, Oregon",Unionized,Starbucks Corporation,WORKERS UNITED,Initial,1,0,13,2,0.6,25,1,19-RC-296544
5/26/2022,8/24/2022,Vestal,NY,0,"70,760.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"2540 Vestal Pkwy East, in Vestal, NY",Unionized,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Initial,1,0,9,4,0.3939393939,33,1,03-RC-296460
5/27/2022,8/11/2022,Carbondale,IL,0,"24,093.00",12,0.48,13.1,0.5832,0.1386,0.0013,0.0583,0.0002,0.0035,0.0324,0.1824,0.58,0.02,14.1,"1025 East Main Street, Carbondale, IL",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,11,2,0.5909090909,22,1,14-RC-296646
5/31/2022,8/19/2022,Chicago,IL,0,"62,097.00",12,0.48,13.1,0.5832,0.1386,0.0013,0.0583,0.0002,0.0035,0.0324,0.1824,0.58,0.02,14.1,"6350 N. Broadway, Chicago Illinois",Open,Starbucks Corporation,"Chicago & Midwest Regional Joint Board, Workers United, an affiliate of SEIU",Initial,1,0,12,2,0.5833333333,24,1,13-RC-296747
5/31/2022,7/29/2022,Clarksville,IN,1,"49,892.00",7,0.4584,7.4,0.7547,0.0939,0.0019,0.0246,0.0004,0.0037,0.0391,0.0817,0.41,0.02,5.3,"1231 Veterans Parkway, Clarksville, Indiana",Unionized,STARBUCKS CORPORATION,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,14,1,0.5,30,1,09-RC-296739
5/31/2022,8/3/2022,Pittsburgh,PA,0,"50,536.00",7,0.4745,12.7,0.7347,0.1053,0.0012,0.039,0.0002,0.0042,0.0347,0.0807,0.50,0.01,7.2,"7707 McKnight Road, Pittsburgh, Pennsylvania",Unionized,Starbucks Corporation,Workers United,Initial,1,0,16,4,0.4761904762,42,1,06-RC-296680
5/31/2022,8/5/2022,Portland,OR,0,"73,159.00",14,0.45,15.5,0.7165,0.0186,0.0099,0.0453,0.0043,0.0054,0.0611,0.1389,0.57,0.03,10.3,"401 SW Morrison Street, Portland, Oregon",Unionized,Starbucks Corporation,Workers United,Initial,1,0,6,0,0.375,16,1,19-RC-296755
5/31/2022,8/11/2022,Richmond Heights,MO,0,"88,289.00",11,0.4633,9.6,0.7578,0.1126,0.0038,0.0215,0.0015,0.0036,0.05,0.0492,0.41,0.02,4.2,"8023 Dale Avenue, Richmond Heights, MO",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,22,3,0.7575757576,33,1,14-RC-296784
6/1/2022,8/23/2022,Wilmington,NC,1,"51,137.00",7,0.4743,2.8,0.6046,0.2019,0.0097,0.0326,0.0007,0.0044,0.039,0.1072,0.49,0.02,7.9,"7201 Market Street, Wilmington, NC",Unionized,Starbucks Corporation,"WORKERS UNITED, A/W SEIU",Initial,1,0,16,10,0.7878787879,33,1,10-RC-296802
6/2/2022,8/5/2022,San Antonio,TX,1,"53,420.00",7,0.4753,4.1,0.3975,0.1182,0.0029,0.0536,0.001,0.0039,0.0304,0.3926,0.47,0.02,17.2,"12711 Blanco Rd., Unit 1, San Antonio, Texas",Unionized,STARBUCKS CORPORATION,WORKERS UNITED,Initial,1,0,10,2,0.6,20,1,16-RC-296944
6/3/2022,7/13/2022,Philadelphia,PA,0,"49,127.00",7,0.4745,12.7,0.7347,0.1053,0.0012,0.039,0.0002,0.0042,0.0347,0.0807,0.50,0.01,7.2,"1201 Market Street, Philadelphia, Pennsylvania",Voted Failed,Starbucks Corporation,WORKERS UNITED,Initial,1,0,3,13,0.6956521739,23,0,04-RC-297037
6/6/2022,8/8/2022,North Bend,WA,0,"119,392.00",14,0.4577,18,0.6384,0.0384,0.0118,0.0938,0.0081,0.0056,0.0663,0.1375,0.58,0.03,14.7,"721 SW Mount Si Blvd, Unit B, North Bend, Washington",Unionized,Starbucks Corporation,Workers United,Initial,1,0,12,2,0.5185185185,27,1,19-RC-297142
6/6/2022,8/10/2022,Portland,OR,0,"73,159.00",14,0.45,15.5,0.7165,0.0186,0.0099,0.0453,0.0043,0.0054,0.0611,0.1389,0.57,0.03,10.3,"6080 South Macadam Ave., Portland, Oregon",Unionized,Starbucks Corporation,WORKERS UNITED A/W SEIU,Initial,1,0,8,1,0.9,10,1,19-RC-297141
6/6/2022,8/17/2022,San Francisco,CA,0,"119,136.00",15,0.4866,16.1,0.3469,0.0536,0.0039,0.1512,0.0035,0.0057,0.0412,0.394,0.64,0.02,26.9,"4094 18th Street, San Francisco, California",Unionized,Starbucks Corporation,WORKERS UNITED,Initial,1,0,7,2,0.6,15,1,20-RC-297117
6/6/2022,10/31/2022,Scottsboro,AL,1,"43,713.00",7,0.4741,7.2,0.6312,0.2564,0.0046,0.0151,0.0005,0.0029,0.0367,0.0526,0.37,0.01,3.4,"23029 John T. Reid Pkwy, Scottsboro, Alabama",Open,Starbucks Corporation,"Workers United, Southern Regional Joint Board a/w Service Employees International Union",Revised,0,1,9,8,0.5862068966,29,1,10-RC-297006
6/14/2022,8/22/2022,Berkeley,CA,0,"91,259.00",15,0.4866,16.1,0.3469,0.0536,0.0039,0.1512,0.0035,0.0057,0.0412,0.394,0.64,0.02,26.9,"2224 Shattuck Ave., Berkeley, CA",Unionized,Starbucks Corporation,WORKERS UNITED,Initial,1,0,12,6,0.75,24,1,32-RC-297553
6/14/2022,8/18/2022,Edina,MN,0,"108,576.00",10,0.4434,14.2,0.763,0.0688,0.01,0.0521,0.0005,0.0037,0.0414,0.0606,0.52,0.02,8.6,"5122 Edina Industrial Blvd, Edina, MN",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,9,0,0.3913043478,23,1,18-RC-297566
6/15/2022,9/1/2022,Garden Grove,CA,0,"73,611.00",15,0.4866,16.1,0.3469,0.0536,0.0039,0.1512,0.0035,0.0057,0.0412,0.394,0.64,0.02,26.9,"12711 Brookhurst Street, Garden Grove, California",Voted Failed,Starbucks Corporation,WORKERS UNITED A/W SEIU,Initial,1,0,9,9,0.6206896552,29,0,21-RC-297661
6/16/2022,8/10/2022,Montclair,NJ,0,"149,982.00",13,0.4782,14.9,0.5185,0.1242,0.0012,0.1015,0.0002,0.0076,0.0312,0.2156,0.57,0.01,22.8,"40 South Park Street, Montclair, New Jersey",Unionized,STARBUCKS CORPORATION,Workers United,Initial,1,0,7,0,0.4117647059,17,1,22-RC-297792
6/16/2022,8/29/2022,San Pablo,CA,0,"60,819.00",15,0.4866,16.1,0.3469,0.0536,0.0039,0.1512,0.0035,0.0057,0.0412,0.394,0.64,0.02,26.9,"14330 San Pablo Ave A, San Pablo, CA",Unionized,Starbucks Corporation,WORKERS UNITED,Initial,1,0,3,11,0.4516129032,31,0,32-RC-297724
6/21/2022,8/25/2022,Allison Park,PA,0,"83,333.00",7,0.4745,12.7,0.7347,0.1053,0.0012,0.039,0.0002,0.0042,0.0347,0.0807,0.50,0.01,7.2,"4655 William Flynn Highway, Pittsburgh, Pennsylvania",Unionized,Starbucks Corporation,Workers United,Initial,1,0,15,0,0.5172413793,29,1,06-RC-297910
